id_carregamento,data_registro,tipo_carga,origem,destino,prioridade_solicitada,distancia_km,estoque_destino_dias,caminhoes_disponiveis,combustivel_disponivel_litros,peso_toneladas,carga_perecivel,prazo_horas,hora_registro,tempo_entrega_horas,mes_registro,telex_origem
CS-0001,1972-10-14 15:30,Alimentos básicos,Armazém Ferroviário,Antofagasta,Média,347.9,4.5,2,721,5.4,1,24.2,15,58.0,1972-10,T-15
CS-0002,1972-10-18 15:30,Insumos industriais,Depósito Norte,Talca,Média,274.4,5.9,11,622,9.5,0,24.4,15,28.5,1972-10,T-04
CS-0003,1972-10-28 07:45,Medicamentos,Terminal Costeiro,Talca,Média,120.8,6.0,4,1761,4.4,0,16.1,7,15.8,1972-10,T-15
CS-0004,1972-10-25 15:15,Combustível,Armazém Ferroviário,Antofagasta,Média,295.8,4.8,1,2871,7.0,0,23.1,15,53.4,1972-10,T-04
CS-0005,1972-10-24 09:15,Insumos industriais,Terminal Costeiro,Concepción,Média,557.4,2.8,4,1733,4.8,0,31.7,9,40.6,1972-10,T-12
CS-0006,1972-10-09 14:15,Combustível,Terminal Costeiro,Talca,Alta,556.1,0.7,1,2125,16.8,0,24.1,14,81.7,1972-10,T-12
CS-0007,1972-10-15 13:00,Combustível,Depósito Central,Concepción,Alta,644.3,6.7,6,2886,2.1,0,23.4,13,35.2,1972-10,T-15
CS-0008,1972-10-10 07:00,Alimentos básicos,Armazém Ferroviário,Concepción,Alta,594.1,6.1,8,2204,2.3,1,26.4,7,38.4,1972-10,T-04
CS-0009,1972-10-16 10:15,Alimentos básicos,Armazém Ferroviário,Valparaíso,Média,557.4,1.8,11,2303,19.4,1,31.9,10,58.1,1972-10,T-08
CS-0010,1972-10-20 07:45,Medicamentos,Depósito Norte,Talca,Média,520.3,3.1,5,2734,8.7,0,26.6,7,47.2,1972-10,T-04
CS-0011,1972-10-12 10:45,Medicamentos,Depósito Central,Talca,Alta,63.2,3.1,6,2279,7.9,0,10.3,10,6.9,1972-10,T-12
CS-0012,1972-10-11 10:15,Insumos industriais,Depósito Central,Concepción,Alta,357.1,3.5,4,2096,4.9,0,18.4,10,16.7,1972-10,T-04
CS-0013,1972-10-16 07:30,Alimentos básicos,Depósito Norte,Antofagasta,Alta,593.9,0.9,10,1961,14.7,1,21.3,7,59.4,1972-10,T-08
CS-0014,1972-10-11 07:30,Medicamentos,Terminal Costeiro,Concepción,Alta,83.0,5.9,7,1498,9.2,0,8.3,7,6.9,1972-10,T-04
CS-0015,1972-10-20 10:00,Medicamentos,Armazém Ferroviário,Concepción,Média,251.1,2.8,6,715,12.9,0,20.0,10,25.0,1972-10,T-08
CS-0016,1972-10-16 16:15,Insumos industriais,Depósito Norte,Valparaíso,Média,468.4,6.2,10,3510,20.2,0,27.3,16,42.8,1972-10,T-04
CS-0017,1972-10-19 16:15,Combustível,Depósito Norte,Santiago Centro,Média,384.0,2.2,1,3468,6.0,0,25.0,16,63.1,1972-10,T-04
CS-0018,1972-10-11 11:15,Insumos industriais,Depósito Norte,Valparaíso,Baixa,287.5,2.9,2,2004,6.6,0,30.2,11,50.0,1972-10,T-04
CS-0019,1972-10-31 13:00,Medicamentos,Depósito Central,Talca,Média,286.7,1.3,3,764,17.0,0,20.6,13,40.9,1972-10,T-12
CS-0020,1972-10-19 08:30,Medicamentos,Depósito Norte,Antofagasta,Média,310.4,6.4,5,2929,21.3,0,22.4,8,41.7,1972-10,T-15
CS-0021,1972-10-09 11:00,Combustível,Depósito Norte,Antofagasta,Média,91.1,4.9,5,3082,5.5,0,13.9,11,9.9,1972-10,T-08
CS-0022,1972-10-21 10:45,Insumos industriais,Armazém Ferroviário,Antofagasta,Média,205.7,4.4,1,1850,4.4,0,18.4,10,33.7,1972-10,T-08
CS-0023,1972-10-25 08:45,Insumos industriais,Depósito Central,Talca,Média,581.1,4.1,3,2653,4.5,0,28.3,8,41.6,1972-10,T-12
CS-0024,1972-10-29 13:30,Insumos industriais,Depósito Central,Concepción,Alta,51.5,6.0,3,2230,1.7,0,10.8,13,12.3,1972-10,T-15
CS-0025,1972-10-26 16:45,Alimentos básicos,Armazém Ferroviário,Antofagasta,Média,158.3,3.0,5,1920,18.0,1,20.7,16,16.4,1972-10,T-15
CS-0026,1972-10-15 13:15,Alimentos básicos,Depósito Central,Talca,Média,560.1,0.7,7,2611,4.9,1,28.1,13,54.2,1972-10,T-08
CS-0027,1972-10-17 07:45,Combustível,Terminal Costeiro,Santiago Centro,Média,541.9,1.5,10,1598,7.5,0,27.3,7,53.2,1972-10,T-04
CS-0028,1972-10-31 11:45,Alimentos básicos,Depósito Central,Concepción,Média,218.3,1.6,10,1841,1.8,1,19.4,11,34.5,1972-10,T-08
CS-0029,1972-10-09 06:15,Insumos industriais,Depósito Norte,Santiago Centro,Baixa,545.7,4.9,11,524,10.5,0,39.7,6,55.9,1972-10,T-08
CS-0030,1972-10-29 17:15,Insumos industriais,Terminal Costeiro,Talca,Alta,552.4,0.4,6,3278,1.7,0,20.7,17,43.8,1972-10,T-08
CS-0031,1972-10-24 16:30,Alimentos básicos,Depósito Norte,Talca,Baixa,513.6,1.9,10,2567,7.6,0,37.9,16,64.6,1972-10,T-12
CS-0032,1972-10-11 16:15,Alimentos básicos,Depósito Central,Antofagasta,Média,489.1,1.8,9,1571,16.7,1,27.2,16,47.2,1972-10,T-04
CS-0033,1972-10-15 13:15,Combustível,Depósito Norte,Santiago Centro,Média,333.6,0.4,10,1688,5.7,0,21.9,13,40.3,1972-10,T-12
CS-0034,1972-10-27 15:45,Medicamentos,Armazém Ferroviário,Valparaíso,Média,282.4,0.4,11,3634,2.6,0,23.5,15,40.3,1972-10,T-12
CS-0035,1972-10-20 08:15,Medicamentos,Depósito Central,Santiago Centro,Alta,354.7,2.0,4,394,18.9,0,14.0,8,35.4,1972-10,T-08
CS-0036,1972-10-26 09:15,Insumos industriais,Depósito Central,Concepción,Média,44.2,6.5,11,3032,9.0,0,12.6,9,10.3,1972-10,T-08
CS-0037,1972-10-28 11:15,Insumos industriais,Depósito Central,Santiago Centro,Alta,88.0,3.3,2,2827,3.1,0,12.2,11,14.7,1972-10,T-04
CS-0038,1972-10-21 16:30,Insumos industriais,Depósito Norte,Talca,Alta,347.3,6.5,11,1300,10.1,0,17.9,16,27.4,1972-10,T-12
CS-0039,1972-10-09 13:00,Insumos industriais,Terminal Costeiro,Antofagasta,Baixa,176.2,3.1,1,2213,21.2,0,26.6,13,39.7,1972-10,T-15
CS-0040,1972-10-29 16:30,Alimentos básicos,Terminal Costeiro,Santiago Centro,Média,186.2,6.7,1,1861,10.9,0,17.1,16,41.5,1972-10,T-15
CS-0041,1972-10-22 17:30,Combustível,Depósito Central,Santiago Centro,Alta,555.9,4.2,9,1653,14.2,0,19.5,17,35.5,1972-10,T-12
CS-0042,1972-10-30 16:30,Combustível,Depósito Central,Valparaíso,Alta,317.8,1.2,4,2712,9.6,0,12.7,16,29.9,1972-10,T-08
CS-0043,1972-10-14 17:30,Alimentos básicos,Depósito Norte,Santiago Centro,Média,320.0,1.2,1,1037,7.6,0,26.2,17,64.2,1972-10,T-08
CS-0044,1972-10-25 10:30,Combustível,Depósito Central,Talca,Média,669.9,2.9,3,366,20.6,0,29.7,10,66.9,1972-10,T-04
CS-0045,1972-10-14 09:30,Insumos industriais,Armazém Ferroviário,Santiago Centro,Alta,531.9,3.9,5,2422,7.2,0,19.7,9,21.7,1972-10,T-15
CS-0046,1972-10-24 15:15,Combustível,Depósito Central,Santiago Centro,Baixa,303.6,4.0,9,1093,18.1,0,27.2,15,41.5,1972-10,T-04
CS-0047,1972-10-19 17:30,Combustível,Depósito Central,Talca,Alta,708.1,6.5,10,3576,14.4,0,23.9,17,39.0,1972-10,T-15
CS-0048,1972-10-20 13:15,Alimentos básicos,Depósito Norte,Santiago Centro,Alta,77.2,1.3,7,2390,19.4,0,9.5,13,16.2,1972-10,T-15
CS-0049,1972-10-30 09:30,Insumos industriais,Armazém Ferroviário,Valparaíso,Alta,671.3,3.0,2,831,18.8,0,26.1,9,49.7,1972-10,T-12
CS-0050,1972-10-29 06:30,Combustível,Depósito Central,Valparaíso,Média,237.1,3.1,3,1539,20.0,0,21.1,6,35.1,1972-10,T-12
CS-0051,1972-10-30 10:45,Combustível,Depósito Norte,Antofagasta,Alta,655.1,5.9,2,1887,15.7,0,27.4,10,55.0,1972-10,T-12
CS-0052,1972-10-21 14:15,Medicamentos,Depósito Central,Santiago Centro,Alta,723.2,6.2,3,2476,4.2,0,29.2,14,63.1,1972-10,T-04
CS-0053,1972-10-24 15:15,Combustível,Depósito Central,Valparaíso,Baixa,494.2,2.5,6,2367,19.5,0,36.0,15,53.6,1972-10,T-12
CS-0054,1972-10-11 17:45,Combustível,Armazém Ferroviário,Antofagasta,Média,558.2,1.2,6,3642,6.2,0,31.4,17,71.0,1972-10,T-12
CS-0055,1972-10-28 11:00,Insumos industriais,Armazém Ferroviário,Concepción,Alta,499.5,0.6,10,2196,19.3,0,20.5,11,50.7,1972-10,T-15
CS-0056,1972-10-20 07:15,Alimentos básicos,Depósito Central,Talca,Baixa,353.7,2.1,3,2568,2.5,1,32.0,7,45.7,1972-10,T-15
CS-0057,1972-10-11 10:00,Combustível,Depósito Norte,Concepción,Média,698.2,5.3,6,2133,8.3,0,33.2,10,61.6,1972-10,T-12
CS-0058,1972-10-23 14:00,Insumos industriais,Terminal Costeiro,Talca,Alta,544.7,6.7,1,3710,13.5,0,19.4,14,38.6,1972-10,T-08
CS-0059,1972-10-26 14:30,Combustível,Terminal Costeiro,Valparaíso,Baixa,539.6,2.2,3,1667,17.2,0,35.0,14,63.8,1972-10,T-04
CS-0060,1972-10-27 16:30,Alimentos básicos,Depósito Central,Valparaíso,Alta,363.2,2.7,5,2640,15.7,1,16.7,16,20.6,1972-10,T-15
CS-0061,1972-10-14 11:45,Medicamentos,Depósito Norte,Concepción,Alta,519.9,1.0,9,1378,3.8,0,20.9,11,60.0,1972-10,T-08
CS-0062,1972-10-29 15:45,Insumos industriais,Depósito Norte,Santiago Centro,Baixa,196.5,5.5,5,3680,5.6,0,31.0,15,26.1,1972-10,T-12
CS-0063,1972-10-16 09:00,Insumos industriais,Depósito Norte,Concepción,Média,560.9,5.1,9,325,2.9,0,28.9,9,37.5,1972-10,T-08
CS-0064,1972-10-24 14:00,Combustível,Depósito Central,Valparaíso,Alta,338.2,6.0,7,969,21.8,0,14.7,14,29.7,1972-10,T-12
CS-0065,1972-10-18 09:00,Medicamentos,Terminal Costeiro,Valparaíso,Alta,438.6,6.5,2,647,2.0,0,19.5,9,53.6,1972-10,T-12
CS-0066,1972-10-18 06:30,Insumos industriais,Depósito Central,Santiago Centro,Alta,647.0,3.0,10,2017,15.8,0,25.1,6,41.5,1972-10,T-04
CS-0067,1972-10-16 10:30,Insumos industriais,Armazém Ferroviário,Valparaíso,Alta,659.1,3.7,5,3606,2.9,0,27.5,10,37.5,1972-10,T-12
CS-0068,1972-10-24 15:15,Insumos industriais,Depósito Norte,Antofagasta,Baixa,623.2,2.7,4,3594,12.5,0,42.3,15,57.0,1972-10,T-15
CS-0069,1972-10-29 14:00,Combustível,Depósito Central,Antofagasta,Média,713.7,4.0,3,2562,7.8,0,31.8,14,60.2,1972-10,T-12
CS-0070,1972-10-31 14:45,Alimentos básicos,Depósito Norte,Antofagasta,Baixa,268.1,4.4,8,3647,2.0,1,30.0,14,29.1,1972-10,T-04
