id_carregamento,data_registro,tipo_carga,origem,destino,prioridade_solicitada,distancia_km,estoque_destino_dias,caminhoes_disponiveis,combustivel_disponivel_litros,peso_toneladas,carga_perecivel,prazo_horas,telex_origem
CS-0001,1972/10/14 15:30,Alimentos básicos,Armazém Ferroviário,Antofagasta,Média,"347,9","4,5",2,721,5.4,1,"24,2",T-15
CS-0002,1972-10-18 15:30,insumos,Depósito Norte,Talca,Média,"274,4","5,9",11,622,9.5,0,"24,4",T-04
CS-0003,1972/10/28 07:45,MEDICAMENTOS,Terminal Costeiro,Talca,Média,"120,8","6,0",4,1761,4.4,0,"16,1",T-15
CS-0004,25/10/1972 15:15,combustivel,Armazém Ferroviário,Antofagasta,Média,"295,8","4,8",1,2871,7.0,0,"23,1",T-04
CS-0005,1972/10/24 09:15,INSUMOS INDUSTRIAIS,Terminal Costeiro,Concepción,Média,"557,4","2,8",4,1733,4.8,0,"31,7",T-12
CS-0006,1972-10-09 14:15,Combustível,Terminal Costeiro,Talca,Alta,"556,1","0,7",1,2125,16.8,0,"24,1",T-12
CS-0007,1972-10-15 13:00,Combustível,Depósito Central,Concepción,Alta,"644,3","6,7",6,2886,2.1,0,"23,4",T-15
CS-0008,10/10/1972 07:00,ALIMENTOS BASICOS,Armazém Ferroviário,Concepción,Alta,"594,1","6,1",8,2204,2.3,1,"26,4",T-04
CS-0009,1972/10/16 10:15,Alimentos básicos,Armazém Ferroviário,Valparaíso,Média,"557,4","1,8",11,2303,19.4,1,,T-08
CS-0010,1972/10/20 07:45,Medicamentos,Depósito Norte,Talca,Média,"520,3","3,1",5,2734,8.7,0,"26,6",T-04
CS-0011,1972/10/12 10:45,Medicamentos,Depósito Central,Talca,Alta,"63,2","3,1",6,2279,7.9,0,"10,3",T-12
CS-0012,1972-10-11 10:15,Insumos industriais,Depósito Central,Concepción,Alta,"357,1","3,5",4,2096,4.9,0,"18,4",T-04
CS-0013,16/10/1972 07:30,ALIMENTOS BASICOS,Depósito Norte,Antofagasta,Alta,"593,9","0,9",10,1961,14.7,1,"21,3",T-08
CS-0014,1972/10/11 07:30,medicamento,Terminal Costeiro,Concepción,Alta,"83,0","5,9",7,1498,9.2,0,"8,3",T-04
CS-0015,1972-10-20 10:00,Medicamentos,Armazém Ferroviário,Concepción,Média,"251,1","2,8",6,715,12.9,0,"20,0",T-08
CS-0016,1972-10-16 16:15,INSUMOS INDUSTRIAIS,Depósito Norte,Valparaíso,Média,"468,4","6,2",10,3510,20.2,0,,T-04
CS-0017,19/10/1972 16:15,COMBUSTIVEL,Depósito Norte,Santiago Centro,Média,"384,0","2,2",1,3468,6.0,0,"25,0",T-04
CS-0018,1972/10/11 11:15,insumos,Depósito Norte,Valparaíso,Baixa,"287,5","2,9",2,2004,6.6,0,"30,2",T-04
CS-0019,1972-10-31 13:00,MEDICAMENTOS,Depósito Central,Talca,Média,"286,7",,3,764,17.0,0,"20,6",T-12
CS-0020,19/10/1972 08:30,Medicamentos,Depósito Norte,Antofagasta,Média,"310,4","6,4",5,2929,21.3,0,"22,4",T-15
CS-0021,1972/10/09 11:00,COMBUSTIVEL,Depósito Norte,Antofagasta,Média,"91,1","4,9",5,3082,5.5,0,,T-08
CS-0022,21/10/1972 10:45,insumos,Armazém Ferroviário,Antofagasta,Média,"205,7","4,4",1,1850,4.4,0,"18,4",T-08
CS-0023,1972-10-25 08:45,insumos,Depósito Central,Talca,Média,"581,1","4,1",3,2653,4.5,0,"28,3",T-12
CS-0024,29/10/1972 13:30,insumos,Depósito Central,Concepción,Alta,"51,5",,3,2230,1.7,0,"10,8",T-15
CS-0025,1972-10-26 16:45,ALIMENTOS BASICOS,Armazém Ferroviário,Antofagasta,Média,"158,3","3,0",5,1920,18.0,1,"20,7",T-15
CS-0026,15/10/1972 13:15,alimentos,Depósito Central,Talca,Média,"560,1","0,7",7,2611,4.9,1,"28,1",T-08
CS-0027,17/10/1972 07:45,combustivel,Terminal Costeiro,Santiago Centro,Média,"541,9","1,5",10,1598,7.5,0,"27,3",T-04
CS-0028,1972/10/31 11:45,ALIMENTOS BASICOS,Depósito Central,Concepción,Média,"218,3","1,6",10,1841,1.8,1,"19,4",T-08
CS-0029,09/10/1972 06:15,Insumos industriais,Depósito Norte,Santiago Centro,Baixa,"545,7","4,9",11,524,10.5,0,"39,7",T-08
CS-0030,1972-10-29 17:15,Insumos industriais,Terminal Costeiro,Talca,Alta,"552,4",,6,3278,1.7,0,"20,7",T-08
CS-0031,1972/10/24 16:30,ALIMENTOS BASICOS,Depósito Norte,Talca,Baixa,,,10,2567,7.6,0,"37,9",T-12
CS-0032,11/10/1972 16:15,alimentos,Depósito Central,Antofagasta,Média,"489,1","1,8",9,1571,16.7,1,"27,2",T-04
CS-0033,1972/10/15 13:15,Combustível,Depósito Norte,Santiago Centro,Média,"333,6","0,4",10,1688,5.7,0,"21,9",T-12
CS-0034,1972-10-27 15:45,medicamento,Armazém Ferroviário,Valparaíso,Média,"282,4","0,4",11,3634,2.6,0,"23,5",T-12
CS-0035,20/10/1972 08:15,Medicamentos,Depósito Central,Santiago Centro,Alta,"354,7","2,0",4,394,18.9,0,"14,0",T-08
CS-0036,1972-10-26 09:15,INSUMOS INDUSTRIAIS,Depósito Central,Concepción,Média,"44,2","6,5",11,3032,9.0,0,"12,6",T-08
CS-0037,28/10/1972 11:15,INSUMOS INDUSTRIAIS,Depósito Central,Santiago Centro,Alta,"88,0",,2,2827,3.1,0,"12,2",T-04
CS-0038,1972/10/21 16:30,Insumos industriais,Depósito Norte,Talca,Alta,"347,3",,11,1300,10.1,0,"17,9",T-12
CS-0039,1972-10-09 13:00,Insumos industriais,Terminal Costeiro,Antofagasta,Baixa,,"3,1",1,2213,21.2,0,"26,6",T-15
CS-0040,29/10/1972 16:30,ALIMENTOS BASICOS,Terminal Costeiro,Santiago Centro,Média,"186,2",,1,1861,10.9,0,"17,1",T-15
CS-0041,1972-10-22 17:30,Combustível,Depósito Central,Santiago Centro,Alta,"555,9","4,2",9,1653,14.2,0,"19,5",T-12
CS-0042,30/10/1972 16:30,Combustível,Depósito Central,Valparaíso,Alta,"317,8","1,2",4,2712,9.6,0,"12,7",T-08
CS-0043,14/10/1972 17:30,Alimentos básicos,Depósito Norte,Santiago Centro,Média,"320,0","1,2",1,1037,7.6,0,"26,2",T-08
CS-0044,1972-10-25 10:30,Combustível,Depósito Central,Talca,Média,,"2,9",3,366,20.6,0,"29,7",T-04
CS-0045,14/10/1972 09:30,insumos,Armazém Ferroviário,Santiago Centro,Alta,"531,9","3,9",5,2422,7.2,0,"19,7",T-15
CS-0046,24/10/1972 15:15,Combustível,Depósito Central,Santiago Centro,Baixa,"303,6","4,0",9,1093,18.1,0,,T-04
CS-0047,19/10/1972 17:30,combustivel,Depósito Central,Talca,Alta,"708,1","6,5",10,3576,14.4,0,"23,9",T-15
CS-0048,1972/10/20 13:15,alimentos,Depósito Norte,Santiago Centro,Alta,"77,2","1,3",7,2390,19.4,0,"9,5",T-15
CS-0049,1972-10-30 09:30,Insumos industriais,Armazém Ferroviário,Valparaíso,Alta,"671,3","3,0",2,831,18.8,0,"26,1",T-12
CS-0050,1972-10-29 06:30,COMBUSTIVEL,Depósito Central,Valparaíso,Média,"237,1","3,1",3,1539,20.0,0,"21,1",T-12
CS-0051,1972/10/30 10:45,combustivel,Depósito Norte,Antofagasta,Alta,"655,1","5,9",2,1887,15.7,0,"27,4",T-12
CS-0052,1972/10/21 14:15,MEDICAMENTOS,Depósito Central,Santiago Centro,Alta,"723,2","6,2",3,2476,4.2,0,"29,2",T-04
