id_publicacao,data_publicacao,tema,formato,alcance,curtidas,comentarios,compartilhamentos,salvamentos,seguidores_autor,videos_autor,duracao_segundos,tamanho_legenda,n_emojis,n_hashtags,hora,dia_semana,taxa_engajamento_pct
OCB-001,2026-08-01 12:00,trabalho,imagem,929,19,2,3,4,2383,41,0,82,3,6,12,3,3.01
OCB-002,2026-08-02 18:00,saude,carrossel,1548,45,5,9,11,3366,70,0,119,0,3,18,6,4.52
OCB-003,2026-08-03 22:00,cultura,reel,1392,62,8,9,16,4349,99,45,156,3,8,22,2,6.82
OCB-004,2026-08-04 09:00,mobilidade,imagem,2079,47,4,8,13,5332,128,0,193,0,5,9,5,3.46
OCB-005,2026-08-05 15:00,trabalho,carrossel,2905,67,6,13,12,6315,157,0,230,3,2,15,1,3.37
OCB-006,2026-08-06 20:00,saude,reel,2335,92,9,12,18,7298,186,78,267,0,7,20,4,5.61
OCB-007,2026-08-07 07:00,saude,imagem,3230,59,7,10,14,8281,215,0,304,3,4,7,0,2.79
OCB-008,2026-08-08 12:00,cultura,carrossel,4261,107,8,21,27,9264,244,0,341,0,1,12,3,3.83
OCB-009,2026-08-09 18:00,mobilidade,carrossel,3279,126,11,17,34,10247,273,0,378,3,6,18,6,5.73
OCB-010,2026-08-10 22:00,trabalho,reel,4380,117,12,18,20,11230,302,54,415,0,3,22,2,3.81
OCB-011,2026-08-11 09:00,saude,imagem,5618,146,18,29,30,12213,331,0,62,3,8,9,5,3.97
OCB-012,2026-08-12 15:00,cultura,carrossel,4223,139,10,18,29,13196,360,0,99,0,5,15,1,4.64
OCB-013,2026-08-13 20:00,mobilidade,reel,5530,164,15,27,41,14179,389,19,136,3,2,20,4,4.47
OCB-014,2026-08-14 07:00,mobilidade,imagem,6975,150,17,31,43,15162,418,0,173,0,7,7,0,3.46
OCB-015,2026-08-15 12:00,trabalho,carrossel,5166,138,15,17,23,16145,27,0,210,3,4,12,3,3.74
OCB-016,2026-08-16 18:00,saude,reel,6680,247,18,39,48,17128,56,52,247,0,1,18,6,5.27
OCB-017,2026-08-17 22:00,cultura,imagem,8331,244,22,48,55,18111,85,0,284,3,6,22,2,4.43
OCB-018,2026-08-18 09:00,mobilidade,imagem,6110,149,15,20,36,19094,114,0,321,0,3,9,5,3.60
OCB-019,2026-08-19 15:00,trabalho,carrossel,7830,225,29,39,64,20077,143,0,358,3,8,15,1,4.56
OCB-020,2026-08-20 20:00,saude,reel,9688,301,21,56,51,21060,172,28,395,0,5,20,4,4.43
OCB-021,2026-08-21 07:00,saude,imagem,7054,148,12,19,28,22043,201,0,432,3,2,7,0,2.93
OCB-022,2026-08-22 12:00,cultura,carrossel,8980,300,32,50,68,23026,230,0,79,0,7,12,3,5.01
OCB-023,2026-08-23 18:00,mobilidade,reel,11044,358,46,74,94,24009,259,61,116,3,4,18,6,5.18
OCB-024,2026-08-24 22:00,trabalho,imagem,7997,150,11,20,40,24992,288,0,153,0,1,22,2,2.76
OCB-025,2026-08-25 09:00,saude,carrossel,10130,339,29,52,57,25975,317,0,190,3,6,9,5,4.71
OCB-026,2026-08-26 15:00,cultura,reel,12401,338,35,66,68,26958,346,26,227,0,3,15,1,4.09
OCB-027,2026-08-27 20:00,mobilidade,reel,8941,343,40,45,76,27941,375,37,264,3,8,20,4,5.64
OCB-028,2026-08-28 07:00,mobilidade,imagem,11280,274,20,45,67,28924,404,0,301,0,5,7,0,3.60
OCB-029,2026-08-01 12:00,trabalho,carrossel,647,15,2,3,5,1407,13,0,338,3,2,12,3,3.86
OCB-030,2026-08-02 18:00,saude,reel,765,27,3,4,5,2390,42,70,375,0,7,18,6,5.10
OCB-031,2026-08-03 22:00,cultura,imagem,1315,40,5,7,8,3373,71,0,412,3,4,22,2,4.56
OCB-032,2026-08-04 09:00,mobilidade,carrossel,2004,59,4,11,13,4356,100,0,59,0,1,9,5,4.34
OCB-033,2026-08-05 15:00,trabalho,reel,1708,47,4,6,11,5339,129,35,96,3,6,15,1,3.98
OCB-034,2026-08-06 20:00,saude,imagem,2466,53,6,9,15,6322,158,0,133,0,3,20,4,3.37
OCB-035,2026-08-07 07:00,saude,carrossel,3360,105,13,21,19,7305,187,0,170,3,8,7,0,4.70
OCB-036,2026-08-08 12:00,cultura,carrossel,2652,74,5,9,14,8288,216,0,207,0,5,12,3,3.85
OCB-037,2026-08-09 18:00,mobilidade,reel,3616,130,12,21,29,9271,245,79,244,3,2,18,6,5.31
OCB-038,2026-08-10 22:00,trabalho,imagem,4717,118,13,24,31,10254,274,0,281,0,7,22,2,3.94
OCB-039,2026-08-11 09:00,saude,carrossel,3596,83,10,12,23,11237,303,0,318,3,4,9,5,3.56
OCB-040,2026-08-12 15:00,cultura,reel,4766,146,10,22,24,12220,332,44,355,0,1,15,1,4.24
OCB-041,2026-08-13 20:00,mobilidade,imagem,6073,187,17,36,38,13203,361,0,392,3,6,20,4,4.58
OCB-042,2026-08-14 07:00,mobilidade,carrossel,4540,135,14,18,30,14186,390,0,429,0,3,7,0,4.34
OCB-043,2026-08-15 12:00,trabalho,reel,5916,166,21,28,43,15169,419,77,76,3,8,12,3,4.36
OCB-044,2026-08-16 18:00,saude,imagem,7430,194,15,40,55,16152,28,0,113,0,5,18,6,4.09
OCB-045,2026-08-17 22:00,cultura,imagem,5483,189,15,23,31,17135,57,0,150,3,2,22,2,4.71
OCB-046,2026-08-18 09:00,mobilidade,carrossel,7066,204,21,33,40,18118,86,0,187,0,7,9,5,4.22
OCB-047,2026-08-19 15:00,trabalho,reel,8786,233,29,47,55,19101,115,53,224,3,4,15,1,4.14
OCB-048,2026-08-20 20:00,saude,imagem,6427,158,11,20,37,20084,144,0,261,0,1,20,4,3.52
OCB-049,2026-08-21 07:00,saude,carrossel,8216,189,18,32,53,21067,173,0,298,3,6,7,0,3.55
OCB-050,2026-08-22 12:00,cultura,reel,10143,316,33,61,56,22050,202,18,335,0,3,12,3,4.59
OCB-051,2026-08-23 18:00,mobilidade,imagem,7371,272,31,35,53,23033,231,0,372,3,8,18,6,5.30
OCB-052,2026-08-24 22:00,trabalho,carrossel,9366,218,16,35,48,24016,260,0,409,0,5,22,2,3.38
OCB-053,2026-08-25 09:00,saude,reel,11500,318,30,64,81,24999,289,51,56,3,2,9,5,4.29
OCB-054,2026-08-26 15:00,cultura,reel,8314,296,32,41,81,25982,318,62,93,0,7,15,1,5.41
OCB-055,2026-08-27 20:00,mobilidade,imagem,10516,341,40,55,60,26965,347,0,130,3,4,20,4,4.72
OCB-056,2026-08-28 07:00,mobilidade,carrossel,12856,281,20,53,55,27948,376,0,167,0,1,7,0,3.18
OCB-057,2026-08-01 12:00,trabalho,reel,9258,291,25,38,63,28931,405,27,204,3,6,12,3,4.50
OCB-058,2026-08-02 18:00,saude,imagem,551,14,2,3,4,1414,14,0,241,0,3,18,6,4.17
OCB-059,2026-08-03 22:00,cultura,carrossel,1103,35,5,7,10,2397,43,0,278,3,8,22,2,5.17
OCB-060,2026-08-04 09:00,mobilidade,reel,1082,40,3,5,6,3380,72,60,315,0,5,9,5,4.99
OCB-061,2026-09-05 15:00,trabalho,imagem,1702,36,3,6,7,4363,101,0,352,3,2,15,1,3.06
OCB-062,2026-09-06 20:00,saude,carrossel,2459,63,7,13,15,5346,130,0,389,0,7,20,4,3.99
OCB-063,2026-09-07 07:00,saude,carrossel,2025,50,6,7,12,6329,159,0,426,3,4,7,0,3.70
OCB-064,2026-09-08 12:00,cultura,reel,2852,89,7,15,24,7312,188,36,73,0,1,12,3,4.73
OCB-065,2026-09-09 18:00,mobilidade,imagem,3816,109,9,21,19,8295,217,0,110,3,6,18,6,4.14
OCB-066,2026-09-10 22:00,trabalho,carrossel,2969,75,7,9,14,9278,246,0,147,0,3,22,2,3.54
OCB-067,2026-09-11 09:00,saude,reel,4002,144,18,24,33,10261,275,69,184,3,8,9,5,5.47
OCB-068,2026-09-12 15:00,cultura,imagem,5172,148,11,29,37,11244,304,0,221,0,5,15,1,4.35
OCB-069,2026-09-13 20:00,mobilidade,carrossel,3913,109,10,15,29,12227,333,0,258,3,2,20,4,4.17
OCB-070,2026-09-14 07:00,mobilidade,reel,5152,179,18,28,31,13210,362,34,295,0,7,7,0,4.97
OCB-071,2026-09-15 12:00,trabalho,imagem,6529,148,18,29,30,14193,391,0,332,3,4,12,3,3.45
OCB-072,2026-09-16 18:00,saude,imagem,4856,107,7,13,22,15176,420,0,369,0,1,18,6,3.07
OCB-073,2026-09-17 22:00,cultura,carrossel,6302,224,20,37,55,16159,29,0,406,3,6,22,2,5.33
OCB-074,2026-09-18 09:00,mobilidade,reel,7885,250,28,52,72,17142,58,78,53,0,3,9,5,5.10
OCB-075,2026-09-19 15:00,trabalho,imagem,5800,122,14,15,21,18125,87,0,90,3,8,15,1,2.97
OCB-076,2026-09-20 20:00,saude,carrossel,7452,217,15,34,42,19108,116,0,127,0,5,20,4,4.13
OCB-077,2026-09-21 07:00,saude,reel,9242,270,25,53,61,20091,145,43,164,3,2,7,0,4.43
OCB-078,2026-09-22 12:00,cultura,imagem,6744,155,16,21,38,21074,174,0,201,0,7,12,3,3.41
OCB-079,2026-09-23 18:00,mobilidade,carrossel,8602,264,34,46,76,22057,203,0,238,3,4,18,6,4.88
OCB-080,2026-09-24 22:00,trabalho,reel,10598,315,23,59,54,23040,232,76,275,0,1,22,2,4.26
OCB-081,2026-09-25 09:00,saude,reel,7687,308,26,39,58,24023,261,19,312,3,6,9,5,5.61
OCB-082,2026-09-26 15:00,cultura,imagem,9752,208,22,34,47,25006,290,0,349,0,3,15,1,3.19
OCB-083,2026-09-27 20:00,mobilidade,carrossel,11955,399,51,83,105,25989,319,0,386,3,8,20,4,5.34
OCB-084,2026-09-28 07:00,mobilidade,reel,8631,299,22,40,79,26972,348,52,423,0,5,7,0,5.10
OCB-085,2026-09-01 12:00,trabalho,imagem,10902,177,15,27,30,27955,377,0,70,3,2,12,3,2.28
OCB-086,2026-09-02 18:00,saude,carrossel,13311,430,45,84,87,28938,406,0,107,0,7,18,6,4.85
OCB-087,2026-09-03 22:00,cultura,reel,455,19,2,3,4,1421,15,17,144,3,4,22,2,6.15
OCB-088,2026-09-04 09:00,mobilidade,imagem,938,18,1,3,4,2404,44,0,181,0,1,9,5,2.77
