id_publicacao,data_publicacao,tema,formato,alcance,curtidas,comentarios,compartilhamentos,salvamentos,seguidores_autor,videos_autor,duracao_segundos
OCB-001,2026-08-01 12:00,trabalho,imagem,929,19,2,3,4,2383,41,0
OCB-002,2026-08-02 18:00,saude,carrossel,1548,45,5,9,11,3366,70,0
OCB-003,2026-08-03 22:00,cultura,reel,1392,62,8,9,16,4349,99,45
OCB-004,2026-08-04 09:00,mobilidade,imagem,2079,47,4,8,13,5332,128,0
OCB-005,05/08/2026 18:00,trabalho,carrossel,2905,67,6,13,12,6315,157,0
OCB-006,2026-08-06 20:00,saude,reel,2335,92,9,12,18,7298,186,78
OCB-007,2026-08-07 07:00,saude,imagem,3230,59,7,10,14,8281,215,0
OCB-008,2026-08-08 12:00,cultura,carrossel,4261,107,8,21,27,9264,244,0
OCB-009,2026-08-09 18:00,Cultura,carrossel,3279,126,11,17,34,10247,273,0
OCB-010,2026-08-10 22:00,trabalho,reel,4380,117,12,18,20,11230,302,54
OCB-011,2026-08-11 09:00,saude,imagem,5618,146,18,29,30,12213,331,0
OCB-012,2026-08-12 15:00,cultura,carrossel,4223,139,10,18,29,13196,360,0
OCB-013,2026-08-13 20:00,mobilidade ,reel,5530,164,15,27,41,14179,389,19
OCB-014,2026-08-14 07:00,mobilidade,imagem,6975,150,17,31,43,15162,418,0
OCB-015,2026-08-15 12:00,trabalho,carrossel,5166,138,15,17,23,16145,27,0
OCB-016,2026-08-16 18:00,saude,reel,6680,247,18,39,48,17128,56,52
OCB-017,2026-08-17 22:00,Saúde,imagem,8331,244,22,48,55,18111,85,0
OCB-018,2026-08-18 09:00,mobilidade,imagem,6110,149,15,20,36,19094,114,0
OCB-019,2026-08-19 15:00,trabalho,carrossel,7830,225,29,39,64,20077,143,0
OCB-020,2026-08-20 20:00,saude,reel,9688,301,21,56,51,21060,172,28
OCB-021,2026-08-21 07:00,saude,imagem,,148,12,19,28,22043,201,0
OCB-022,2026-08-22 12:00,cultura,carrossel,8980,300,32,50,68,23026,230,0
OCB-023,2026-08-23 18:00,mobilidade,reel,11044,358,46,74,94,24009,259,61
OCB-024,2026-08-24 22:00,trabalho,imagem,7997,150,11,20,40,24992,288,0
OCB-025,2026-08-25 09:00,saude,carrossel,10130,339,,52,57,25975,317,0
OCB-026,2026-08-26 15:00,cultura,reel,12401,338,35,66,68,26958,346,26
OCB-027,2026-08-27 20:00,mobilidade,reel,8941,343,40,45,76,27941,375,37
OCB-028,2026-08-28 07:00,mobilidade,imagem,11280,274,20,45,67,28924,404,0
OCB-029,2026-08-01 12:00,trabalho,carrossel,647,15,2,3,,1407,13,0
OCB-030,2026-08-02 18:00,saude,reel,765,27,3,4,5,2390,42,70
OCB-031,2026-08-03 22:00,cultura,imagem,1315,40,5,7,8,3373,71,0
OCB-032,2026/08/04 09:00,mobilidade,carrossel,2004,59,4,11,13,4356,100,0
OCB-033,2026-08-05 15:00,trabalho,reel,1708,47,4,6,11,5339,129,35
OCB-034,2026-08-06 20:00,saude,imagem,2466,53,6,9,15,6322,158,0
OCB-035,2026-08-07 07:00,saude,carrossel,3360,105,13,21,19,7305,187,0
OCB-018,2026-08-18 09:00,mobilidade,imagem,6110,149,15,20,36,19094,114,0
