id_solicitacao,data_abertura,data_conclusao,servico,canal_entrada,regional,prioridade_informada,turno_abertura,hora_abertura,demanda_prevista,equipe_disponivel,distancia_km,anexos_enviados,tempo_estimado_horas,custo_estimado_reais,tempo_resolucao_horas,mes_abertura,dia_semana
SU-0001,2026-02-06 09:15,2026-02-09 02:15,Reparo de calçada,Telefone 156,Norte,Média,manhã,9,53,9,15.4,3,34,724.84,65.0,2026-02,sexta
SU-0002,2026-03-20 13:00,2026-03-24 00:06,Poda preventiva,Atendimento presencial,Leste,Baixa,tarde,13,85,7,11.9,1,30,703.3,83.1,2026-03,sexta
SU-0003,2026-03-03 07:15,2026-03-06 17:15,Poda preventiva,Telefone 156,Norte,Média,manhã,7,61,4,10.1,1,25,663.57,82.0,2026-03,terça
SU-0004,2026-02-24 10:30,2026-02-27 09:24,Poda preventiva,Aplicativo,Leste,Alta,manhã,10,24,6,7.6,2,25,623.94,70.9,2026-02,terça
SU-0005,2026-03-14 13:30,2026-03-17 08:24,Poda preventiva,Telefone 156,Oeste,Média,tarde,13,19,2,6.5,2,33,576.3,66.9,2026-03,sábado
SU-0006,2026-05-07 17:45,2026-05-10 13:51,Poda preventiva,Portal web,Oeste,Baixa,noite,17,82,9,11.3,0,28,593.49,68.1,2026-05,quinta
SU-0007,2026-03-01 10:00,2026-03-04 09:54,Reparo de calçada,Aplicativo,Oeste,Baixa,manhã,10,34,5,5.3,1,28,528.32,71.9,2026-03,domingo
SU-0008,2026-04-13 14:00,2026-04-15 11:54,Iluminação pública,Aplicativo,Sul,Alta,tarde,14,77,5,7.3,3,13,497.64,45.9,2026-04,segunda
SU-0009,2026-04-27 15:00,2026-05-01 07:00,Poda preventiva,Atendimento presencial,Oeste,Média,tarde,15,78,3,11.3,1,25,732.51,88.0,2026-04,segunda
SU-0010,2026-04-02 07:30,2026-04-03 01:30,Iluminação pública,Atendimento presencial,Sul,Média,manhã,7,39,11,1.0,1,16,225.35,18.0,2026-04,quinta
SU-0011,2026-04-25 08:30,2026-04-27 09:36,Poda preventiva,Atendimento presencial,Oeste,Alta,manhã,8,46,7,8.7,1,30,520.91,49.1,2026-04,sábado
SU-0012,2026-04-05 11:00,2026-04-07 18:36,Poda preventiva,Atendimento presencial,Leste,Baixa,manhã,11,19,8,1.9,2,33,451.78,55.6,2026-04,domingo
SU-0013,2026-04-19 14:15,2026-04-21 19:27,Poda preventiva,Telefone 156,Oeste,Alta,tarde,14,20,3,5.7,3,33,473.82,53.2,2026-04,domingo
SU-0014,2026-03-12 10:15,2026-03-15 04:03,Reparo de calçada,Portal web,Sul,Baixa,manhã,10,86,11,2.3,0,34,450.07,65.8,2026-03,quinta
SU-0015,2026-02-10 10:15,2026-02-12 16:21,Poda preventiva,Portal web,Sul,Média,manhã,10,61,6,1.3,2,22,399.63,54.1,2026-02,terça
SU-0016,2026-03-07 14:15,2026-03-11 01:51,Poda preventiva,Portal web,Norte,Baixa,tarde,14,56,6,11.2,1,28,693.92,83.6,2026-03,sábado
SU-0017,2026-05-04 07:15,2026-05-06 10:27,Poda preventiva,Atendimento presencial,Leste,Alta,manhã,7,52,11,10.7,2,28,581.52,51.2,2026-05,segunda
SU-0018,2026-03-10 09:15,2026-03-12 05:09,Iluminação pública,Portal web,Norte,Baixa,manhã,9,38,6,14.2,2,21,614.33,43.9,2026-03,terça
SU-0019,2026-04-10 14:30,2026-04-12 19:18,Coleta programada,Atendimento presencial,Norte,Baixa,tarde,14,88,9,0.7,3,20,411.26,52.8,2026-04,sexta
SU-0020,2026-02-05 10:15,2026-02-09 02:27,Reparo de calçada,Telefone 156,Oeste,Alta,manhã,10,26,5,11.5,1,36,762.89,88.2,2026-02,quinta
SU-0021,2026-02-08 16:00,2026-02-11 03:48,Poda preventiva,Aplicativo,Sul,Média,tarde,16,60,9,5.0,1,25,473.14,59.8,2026-02,domingo
SU-0022,2026-03-04 09:30,2026-03-07 00:24,Poda preventiva,Atendimento presencial,Leste,Média,manhã,9,38,10,8.7,1,33,565.55,62.9,2026-03,quarta
SU-0023,2026-02-13 16:30,2026-02-14 19:18,Iluminação pública,Portal web,Sul,Média,tarde,16,77,11,4.9,1,19,332.23,26.8,2026-02,sexta
SU-0024,2026-03-19 14:30,2026-03-20 22:54,Coleta programada,Telefone 156,Oeste,Alta,tarde,14,21,11,13.5,2,17,525.83,32.4,2026-03,quinta
SU-0025,2026-02-06 07:15,2026-02-08 20:09,Coleta programada,Portal web,Oeste,Média,manhã,7,54,5,3.2,2,17,454.54,60.9,2026-02,sexta
